Reviewer_ID;Project Title;Feasibility Rating;Rating Accuracy
z_assessor_2028;Innovatio Cross-Chain ADA-AVAX-DOT;5;1
z_assessor_2118;Innovatio Cross-Chain ADA-AVAX-DOT;5;1
z_assessor_2233;Innovatio Cross-Chain ADA-AVAX-DOT;5;1
z_assessor_2410;Innovatio Cross-Chain ADA-AVAX-DOT;5;1
z_assessor_2505;Innovatio Cross-Chain ADA-AVAX-DOT;5;1
z_assessor_2552;Innovatio Cross-Chain ADA-AVAX-DOT;4;1
z_assessor_2786;Innovatio Cross-Chain ADA-AVAX-DOT;5;1
z_assessor_2815;Innovatio Cross-Chain ADA-AVAX-DOT;5;1
z_assessor_2955;Innovatio Cross-Chain ADA-AVAX-DOT;4;1
z_assessor_4106;Innovatio Cross-Chain ADA-AVAX-DOT;4;1
z_assessor_2028;Solve asset fractionalization;5;1
z_assessor_2070;Solve asset fractionalization;5;1
z_assessor_2222;Solve asset fractionalization;3;0
z_assessor_2233;Solve asset fractionalization;4;1
z_assessor_2335;Solve asset fractionalization;5;1
z_assessor_2394;Solve asset fractionalization;2;0
z_assessor_2482;Solve asset fractionalization;4;1
z_assessor_2028;Catalyst SDK dRep support;5;1
z_assessor_2192;Catalyst SDK dRep support;3;0
z_assessor_2525;Catalyst SDK dRep support;4;1
z_assessor_2554;Catalyst SDK dRep support;5;1
z_assessor_2675;Catalyst SDK dRep support;3;0
z_assessor_2963;Catalyst SDK dRep support;4;1
z_assessor_3702;Catalyst SDK dRep support;4;1
z_assessor_2028;Evescale Devs on Cardano;5;1
z_assessor_2098;Evescale Devs on Cardano;5;1
z_assessor_2233;Evescale Devs on Cardano;5;1
z_assessor_2261;Evescale Devs on Cardano;5;1
z_assessor_2274;Evescale Devs on Cardano;5;1
z_assessor_2786;Evescale Devs on Cardano;5;1
z_assessor_2831;Evescale Devs on Cardano;4;1
z_assessor_3016;Evescale Devs on Cardano;5;1
z_assessor_3216;Evescale Devs on Cardano;4;1
z_assessor_4099;Evescale Devs on Cardano;5;1
z_assessor_2028;Mentorship Digital Identity DAO;5;1
z_assessor_2251;Mentorship Digital Identity DAO;5;1
z_assessor_2259;Mentorship Digital Identity DAO;4;1
z_assessor_2552;Mentorship Digital Identity DAO;5;1
z_assessor_3521;Mentorship Digital Identity DAO;5;1
z_assessor_2028;Secure off-chain community voting;5;1
z_assessor_2358;Secure off-chain community voting;5;1
z_assessor_2564;Secure off-chain community voting;4;1
z_assessor_2664;Secure off-chain community voting;4;1
z_assessor_2688;Secure off-chain community voting;5;1
z_assessor_2787;Secure off-chain community voting;5;1
z_assessor_2826;Secure off-chain community voting;5;1
z_assessor_3008;Secure off-chain community voting;5;1
z_assessor_3314;Secure off-chain community voting;5;1
z_assessor_2028;Community CIP Editor: 1 year budget;5;1
z_assessor_2222;Community CIP Editor: 1 year budget;5;1
z_assessor_2292;Community CIP Editor: 1 year budget;5;1
z_assessor_2671;Community CIP Editor: 1 year budget;5;1
z_assessor_3187;Community CIP Editor: 1 year budget;5;1
z_assessor_3237;Community CIP Editor: 1 year budget;5;1
z_assessor_2031;Ethereum2Cardano Builder Dictionary;5;1
z_assessor_2110;Ethereum2Cardano Builder Dictionary;5;1
z_assessor_2292;Ethereum2Cardano Builder Dictionary;5;1
z_assessor_2322;Ethereum2Cardano Builder Dictionary;3;0
z_assessor_2352;Ethereum2Cardano Builder Dictionary;5;1
z_assessor_2464;Ethereum2Cardano Builder Dictionary;5;1
z_assessor_2714;Ethereum2Cardano Builder Dictionary;3;0
z_assessor_2940;Ethereum2Cardano Builder Dictionary;5;1
z_assessor_2972;Ethereum2Cardano Builder Dictionary;4;1
z_assessor_3073;Ethereum2Cardano Builder Dictionary;4;1
z_assessor_3175;Ethereum2Cardano Builder Dictionary;4;1
z_assessor_3205;Ethereum2Cardano Builder Dictionary;4;1
z_assessor_3255;Ethereum2Cardano Builder Dictionary;2;0
z_assessor_3434;Ethereum2Cardano Builder Dictionary;5;1
z_assessor_4055;Ethereum2Cardano Builder Dictionary;3;0
z_assessor_4112;Ethereum2Cardano Builder Dictionary;4;1
z_assessor_2040;subHandles | ADA Handle;5;0
z_assessor_2073;subHandles | ADA Handle;5;0
z_assessor_2255;subHandles | ADA Handle;5;0
z_assessor_2895;subHandles | ADA Handle;5;0
z_assessor_2956;subHandles | ADA Handle;4;0
z_assessor_3237;subHandles | ADA Handle;5;0
z_assessor_3296;subHandles | ADA Handle;5;0
z_assessor_3472;subHandles | ADA Handle;5;0
z_assessor_2040;Handle Personalization | ADA Handle;5;1
z_assessor_2073;Handle Personalization | ADA Handle;5;1
z_assessor_2076;Handle Personalization | ADA Handle;5;1
z_assessor_2255;Handle Personalization | ADA Handle;5;1
z_assessor_2636;Handle Personalization | ADA Handle;5;1
z_assessor_2883;Handle Personalization | ADA Handle;5;1
z_assessor_2895;Handle Personalization | ADA Handle;5;1
z_assessor_3183;Handle Personalization | ADA Handle;5;1
z_assessor_3264;Handle Personalization | ADA Handle;5;1
z_assessor_2040;RootsWallet - iPhone version;5;1
z_assessor_2917;RootsWallet - iPhone version;5;1
z_assessor_2761;RootsWallet - iPhone version;5;1
z_assessor_2245;RootsWallet - iPhone version;5;1
z_assessor_2259;RootsWallet - iPhone version;5;1
z_assessor_2040;KERI bridge for Cardano;5;1
z_assessor_2098;KERI bridge for Cardano;5;1
z_assessor_2233;KERI bridge for Cardano;5;1
z_assessor_2261;KERI bridge for Cardano;5;1
z_assessor_2299;KERI bridge for Cardano;5;1
z_assessor_2663;KERI bridge for Cardano;5;1
z_assessor_2786;KERI bridge for Cardano;5;1
z_assessor_2915;KERI bridge for Cardano;5;1
z_assessor_2040;RootsWallet - User Feedback Updates;5;1
z_assessor_2047;RootsWallet - User Feedback Updates;4;1
z_assessor_2323;RootsWallet - User Feedback Updates;5;1
z_assessor_3426;RootsWallet - User Feedback Updates;5;1
z_assessor_2255;RootsWallet - User Feedback Updates;5;1
z_assessor_2040;Discord Social Credential;5;1
z_assessor_2290;Discord Social Credential;5;1
z_assessor_2523;Discord Social Credential;5;1
